"movie_name","movie_year","category"
"Haikyuu!!","2014","top rated TV shows"
"Pew News","2018","top rated TV shows"
"Father Ted","1995","top rated TV shows"
"Formula 1: Drive to Survive","2019","top rated TV shows"
"Long Way Round","2004","top rated TV shows"
"Mind Your Language","1977","top rated TV shows"
"Anne with an E","2017","top rated TV shows"
"North & South","2004","top rated TV shows"
"Making a Murderer","2015","top rated TV shows"
"Le Bureau des Légendes","2015","top rated TV shows"
"Yes Minister","1980","top rated TV shows"
"Behzat Ç.: Bir Ankara Polisiyesi","2010","top rated TV shows"
"The Newsroom","2012","top rated TV shows"
"Monster","2004","top rated TV shows"
"Spaced","1999","top rated TV shows"
"Umbre","2014","top rated TV shows"
"Second Spring","1998","top rated TV shows"
"Panchayat","2020","top rated TV shows"
"El Chavo del Ocho","1972","top rated TV shows"
"Brass Eye","1997","top rated TV shows"
"Poirot","1989","top rated TV shows"
"Skam","2015","top rated TV shows"
"Dragon Ball","1986","top rated TV shows"
"Justice League","2001","top rated TV shows"
"Justified","2010","top rated TV shows"
"Neon Genesis Evangelion","1995","top rated TV shows"
"Fullmetal Alchemist","2003","top rated TV shows"
"From the Earth to the Moon","1998","top rated TV shows"
"Adventure Time","2010","top rated TV shows"
"Dragon Ball","1995","top rated TV shows"
"Boardwalk Empire","2010","top rated TV shows"
"The Bugs Bunny/Road Runner Hour","1968","top rated TV shows"
"Samurai Champloo","2004","top rated TV shows"
"Shameless","2011","top rated TV shows"
"Yes, Prime Minister","1986","top rated TV shows"
"The Great British Baking Show","2010","top rated TV shows"
"Twin Peaks","2017","top rated TV shows"
"Doctor Who","2005","top rated TV shows"
"Flight of the Conchords","2007","top rated TV shows"
"Succession","2018","top rated TV shows"
"Love, Death & Robots","2019","top rated TV shows"
"Bose: Dead/Alive","2017","top rated TV shows"
"The Untold History of the United States","2012","top rated TV shows"
"Mystery Science Theater 3000","1988","top rated TV shows"
"Mr. Bean","1990","top rated TV shows"
"Sacred Games","2018","top rated TV shows"
"Pose","2018","top rated TV shows"
"Satyamev Jayate","2012","top rated TV shows"
"Chef's Table","2015","top rated TV shows"
"Coupling","2000","top rated TV shows"
"The IT Crowd","2006","top rated TV shows"
"Normal People","2020","top rated TV shows"
"The Defiant Ones","2017","top rated TV shows"
"Letterkenny","2016","top rated TV shows"
"Generation Kill","2008","top rated TV shows"
"Impractical Jokers","2011","top rated TV shows"
"Louie","2010","top rated TV shows"
"Mr. Robot","2015","top rated TV shows"
"Endeavour","2012","top rated TV shows"
"GTO","1999","top rated TV shows"
"Alfred Hitchcock Presents","1955","top rated TV shows"
"The Night Of","2016","top rated TV shows"
"Detectorists","2014","top rated TV shows"
"Big Little Lies","2017","top rated TV shows"
"Silicon Valley","2014","top rated TV shows"
"Homicide: Life on the Street","1993","top rated TV shows"
