S.No,movie_title,year,star_cast,rating
0,The Shawshank Redemption,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.2
1,The Godfather,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.1
2,The Godfather: Part II,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",9.0
3,The Dark Knight,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",9.0
4,12 Angry Men,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.9
5,Schindler's List,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.9
6,The Lord of the Rings: The Return of the King,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.9
7,Pulp Fiction,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.8
8,"The Good, the Bad and the Ugly",1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.8
9, The Lord of the Rings: The Fellowship of the Ring,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.8
10,Fight Club,1999,"David Fincher (dir.), Brad Pitt, Edward Norton",8.8
11,Forrest Gump,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.8
12,Inception,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.7
13,Star Wars: Episode V - The Empire Strikes Back,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.7
14,The Lord of the Rings: The Two Towers,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.7
15,The Matrix,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.6
16,Goodfellas,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.6
17,One Flew Over the Cuckoo's Nest,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.6
18,Shichinin no samurai,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.6
19,Seven,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.6
20,Het leven is mooi,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.6
21,Cidade de Deus,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.6
22,The Silence of the Lambs,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.6
23,It's a Wonderful Life,1946,"Frank Capra (dir.), James Stewart, Donna Reed",8.6
