,movie_title,year,star_cast,rating
74,Kimi no na wa,2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.319989242474898
75,Coco,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.314064134484036
76,American Beauty,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.308038467017877
77,Braveheart,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.302963901186594
78,3 Idiots,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.301041486473702
79,Das Boot,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.299643396760459
80,Toy Story,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.295915348518964
81,Tengoku to jigoku,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.295626598314202
82,Amadeus,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.289481812171417
83,Taare Zameen Par,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.288381957113904
84,Star Wars: Episode VI - Return of the Jedi,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.286367131432202
85,Inglourious Basterds,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.284016226394723
86,Reservoir Dogs,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.282215340801915
87,Good Will Hunting,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.279694793453892
88,Capharnaüm,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.277980214379825
89,2001: Een zwerftocht in de ruimte,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.27177098968312
90,Requiem for a Dream,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.267761011725849
91,Vertigo,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.267019090086146
92,M - Eine Stadt sucht einen Mörder,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.26429975659493
93,Dangal,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.262966894423569
94,1917,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.262124531002023
95,Eternal Sunshine of the Spotless Mind,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.259287373714892
96,Jagten,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.257398593740689
97,Citizen Kane,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.255420051552889
98,Full Metal Jacket,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.249776513433488
99, Ladri di biciclette,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.247869861299606
100,The Kid,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.246714740762783
101,A Clockwork Orange,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.246531832135716
102,North by Northwest,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.246370221735631
103,Snatch,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.245012372329867
104,Singin' in the Rain,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.244771129645427
105,Scarface,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.24253484293464
106,Taxi Driver,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.239509077519052
107,Amélie,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.23512017243423
108,Lawrence of Arabia,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.234903283316736
109,Ikiru,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.2345180785467
110,Toy Story 3,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.23409598475446
111,The Sting,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.233370921398423
112,Metropolis,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.23183885621721
113,A Separation,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.230972896583845
114,For a Few Dollars More,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.228105486835545
115,Incendies,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.224908725607921
116,Het appartement,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.222567653935005
117,Double Indemnity,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.221738790725027
118,To Kill a Mockingbird,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.216184987063537
119,Idi i smotri,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.215445718379344
120,Indiana Jones and the Last Crusade,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.211843076256011
121,Up,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai",8.211426094130482
122,LA Confidential,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.20295771377518
123,Heat,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.201702175870002
124,Monty Python and the Holy Grail,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.195915586950866
125,Die Hard,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.194410039672633
126,Rashômon,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.191884124211859
127,Yôjinbô,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.190707289170884
128,Anand,1971,"Hrishikesh Mukherjee (dir.), Rajesh Khanna, Amitabh Bachchan",8.190609362557996
129,Batman Begins,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.190303539538816
130,Green Book,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.18743986358276
131,Der Untergang,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.185532266255711
132,Bacheha-Ye aseman,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.184789270441145
133,Unforgiven,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.181353946186945
134,Some Like It Hot,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.175920372953959
135,Ran,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.174473675085588
136,Hauru no ugoku shiro,2004,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.16692748733467
137,A Beautiful Mind,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.161130175205072
138,The Great Escape,1963,"John Sturges (dir.), Steve McQueen, James Garner",8.160903290954947
139,All About Eve,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.160782850769058
140,Casino,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.159896800723624
141,Pan's Labyrinth,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.154717698907094
142,The Wolf of Wall Street,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.153745084574883
143,El secreto de sus ojos,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.150176694450279
144,"Lock, Stock and Two Smoking Barrels",1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.148658366639262
145,Tonari no Totoro,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.14793064360511
146,Raging Bull,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.147372625889535
147,There Will Be Blood,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.143543860680818
148,Oordeel te Neurenberg,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.140453553158673
149,The Treasure of the Sierra Madre,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.139967762455042
150,"Three Billboards Outside Ebbing, Missouri",2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.132093909239774
151,Babam ve Oglum,2005,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.131886960560346
152,Dial M for Murder,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.13135479462031
153,The Gold Rush,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.130125366685595
154,Chinatown,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.129956311188675
155,V for Vendetta,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.124760778645411
156,No Country for Old Men,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.124536376781426
157,Shutter Island,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.124378640651877
158,Det sjunde inseglet,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.12270988634689
159,Inside Out,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.12165117883785
160,Warrior,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.11960349278327
161,The Elephant Man,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.116786594275277
162,Trainspotting,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.116282962220492
163,The Sixth Sense,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.115571318769241
164,The Thing,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.114577944889499
165,Jurassic Park,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.1113321074969
166,Gejaagd door de wind,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.107631958415135
167,Smultronstället,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.10551826528822
168,Blade Runner,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.104827686973676
169,Finding Nemo,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.104635693468229
170,The Truman Show,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.104333601323535
171,Room,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.10301209381198
