name,address,cost_per_two,timings,category,cusine,detailed_address,featured_in,discount
Chezmoi,"The Spicy Street Road, Airport Gandhinagar Highway",₹400,3pm – 12midnight (Mon-Sun),Food Court,"Chinese,Thai"," Stall 18, 19, The Spicy Street Road, Kudasan, Airport Gandhinagar Highway, Gandhinagar",Street Food,NULL
The MB's Fork's And Spoon's,Airport Gandhinagar Highway,₹500,11am – 4am (Mon-Sun),Casual Dining,"Fast Food,Chinese,North Indian"," B-14, Vinayak life Style Business Park, Airport Gandhinagar Highway, Gandhinagar",,NULL
Fyafulla Food,Infocity,₹350,7:30pm – 11:30pm (Mon-Sun),Food Truck,"Chinese,North Indian"," Opposite NIFT, Near TCS Office, Reliance Chokdi, Infocity, Gandhinagar",,NULL
Legends of Punjab - By Pepperazi,Airport Gandhinagar Highway,"₹1,000","12noon – 3pm, 7pm – 11pm (Mon-Sun)",Casual Dining,North Indian," 1st Floor, Pramukh Mastana, Kudasan, Near Reliance Cross Roads, Airport Gandhinagar Highway, Gandhinagar",,NULL
Karnavati Dabeli And Vadapav,Airport Gandhinagar Highway,₹300,11am – 11pm (Mon-Sun),Quick Bites,"Gujarati,Fast Food,Street Food"," Shop 8, Radhe Square Mall, Near Reliance Crossroad, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Capital Point Restaurant & Banquet,Airport Gandhinagar Highway,₹800,"11:30am – 3:15pm, 7:15pm – 10:45pm (Mon-Sun)",Casual Dining,"North Indian,Chinese,Fast Food"," Radhe Fortune, Near Apollo Circle, Airport Gandhinagar Highway, Gandhinagar",,NULL
Pandya Ice World,"Sector 16, Gandhinagar",₹250,10am – 10:30pm (Mon-Sun),Dessert Parlor,"Desserts,Beverages"," 381/3, Opposite DCB Bank, Sector 16, Gandhinagar",,NULL
BMG Dosa Den,Airport Gandhinagar Highway,₹300,9am – 9pm (Mon-Sun),Quick Bites,South Indian," C 05, Business Park, PDPU Road, Raysan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Mummas Food,Airport Gandhinagar Highway,₹150,"11:30am – 2:30pm, 7pm – 10pm (Mon-Sun)",Quick Bites,Gujarati," 1, Shivalay Residency, Near Pramukh Arcade, Kudasan",,NULL
Aavkar,"Sector 16, Gandhinagar",₹600,"10:30am – 3:30pm, 6:30pm – 10pm (Mon-Sun)",Casual Dining,"North Indian,South Indian,Chinese"," 318, Gh 4, Near Dena Bank, Sector 16, Gandhinagar",,NULL
Bethak,"Sector 6, Gandhinagar",₹250,9:30am – 11pm (Mon-Sun),Quick Bites,"Chinese,South Indian,Fast Food,Street Food,Beverages,Ice Cream"," Plot 1525, Shivalay Arcade, Near Jaliyan Jewellers, Sector 6, Gandhinagar",,NULL
Dakshination,Airport Gandhinagar Highway,₹200,"12noon – 3:30pm, 7pm – 11pm (Mon-Sun)",Quick Bites,South Indian," 135, 1st Floor, Pramukh Mastana, Opposite NID, Airport Gandhinagar Highway, Gandhinagar",,NULL
Jay Matarani Dhaba,Infocity,₹150,"11:30am – 3pm, 7pm – 10pm (Mon-Sun)",Quick Bites,Gujarati," 112, Super Mall 1, Infocity, Gandhinagar",,NULL
Pramukh Kathiyavadi Bhojanalay,"Sector 6, Gandhinagar",₹250,"11am – 3:30pm, 7pm – 10:30pm (Mon-Sun)",Quick Bites,"Gujarati,North Indian"," Plot 1553, First Floor, Apna Bazar, Sector 6, Gandhinagar",,NULL
Sweet Truth,Airport Gandhinagar Highway,₹300,7am – 1am (Mon-Sun),Bakery,"Bakery,Desserts", Delivery Only,,NULL
Karnavati Snacks,"Sector 25, Gandhinagar",₹300,10am – 10pm (Mon-Sun),Quick Bites,"Fast Food,Street Food"," Shop 4, Plot R/1, Goldmine Jewel, Near D Mart Road, K Road, Sector 26, Gandhinagar",,NULL
Vrundavan Sweets and Namkeen,"Sector 21, Gandhinagar",₹200,8:30am – 10pm (Mon-Sun),Sweet Shop,"Mithai,Street Food"," A-12, District Shopping Centre, Sector 21, Gandhinagar",,NULL
Raj Bhojnalay,Infocity,₹150,"11am – 3pm, 6pm – 10pm (Mon-Sun)",Quick Bites,Gujarati," Shop 14, Super Mall 1, Infocity, Gandhinagar",,NULL
Farki,Airport Gandhinagar Highway,₹300,9am – 11pm (Mon-Sun),Dessert Parlor,"Ice Cream,Beverages"," A 2, Pramukh Arcade, Reliance Circle, Airport Gandhinagar Highway, Gandhinagar",,NULL
Sky Light Restaurant,Airport Gandhinagar Highway,₹450,11am – 1am (Mon-Sun),Quick Bites,North Indian," 3rd Floor, Pramukh Cyprus, Sargasan-Kudasan Road, Airport Gandhinagar Highway, Gandhinagar",,NULL
Relief,"Sector 16, Gandhinagar",₹500,"11:30am – 4pm, 6:30pm – 11pm (Mon-Sun)",Casual Dining,North Indian," 321, Shopping Center, Sector 17, Near Sector 16, Sector 16, Gandhinagar",,NULL
SaladOholics,Airport Gandhinagar Highway,₹300,8am – 11pm (Mon-Sun),Quick Bites,"Healthy Food,Salad"," Shop 19, Pramukh Tangent, Sargasan Cross Road, Airport Gandhinagar Highway, Gandhinagar",,NULL
New Saurashtra Farsan Corner,"Sector 21, Gandhinagar",₹200,7am – 10pm (Mon-Sun),NULL,"Fast Food,Chinese,Gujarati"," A-4, District Shopping Centre, Sector 21, Gandhinagar",,NULL
Ravan Foods And Restaurants,Airport Gandhinagar Highway,₹400,11am – 2am (Mon-Sun),NULL,North Indian," Shop 5, Pramukh Cypus, TP-9, Airport Gandhinagar Highway, Gandhinagar",,NULL
Patel Ice Cream Parlour,"Sector 21, Gandhinagar",₹200,8:30am – 11pm (Mon-Sun),Dessert Parlor,"Desserts,Ice Cream,Beverages"," Kapidhav, Opposite IBP Petrol Pump, GH 5, Sector 22, Near Sector 21, Gandhinagar",,NULL
Delicious Food,"Sector 16, Gandhinagar",₹200,"8am – 8pm (Mon, Tue, Wed, Fri, Sat, Sun), 8am –...",NULL,"Street Food,South Indian"," Near 10 B, Sector 16, Gandhinagar",,NULL
Mongini's,Infocity,₹200,10am – 10pm (Mon-Sun),Bakery,Bakery," A 43, Ground Floor, Super Mall 1, Infocity, Gandhinagar",,NULL
Kasturi Biryani,Infocity,₹400,12noon – 12midnight (Mon-Sun),Quick Bites,"Biryani,North Indian"," Shop 2, Anxy Super Mall, Infocity, Gandhinagar",,NULL
Doner And Gyros,Airport Gandhinagar Highway,₹500,9:30am – 2am (Mon-Sun),Café,"Cafe,Wraps,Fast Food"," A 101 - 102, Pramukh Mastana, Kudasan, Reliance Cross Road, Near Punjab Hyundai, Airport Gandhinagar Highway, Gandhinagar",Trending This Week,NULL
Frankie Station,"Sector 16, Gandhinagar",₹250,10:30am – 11pm (Mon-Sun),NULL,"Fast Food,Beverages,Rolls"," Near DCB Bank, Sector 16, Gandhinagar",,NULL
Whatta Waffle,Airport Gandhinagar Highway,₹400,12noon – 9pm (Mon-Sun),Dessert Parlor,"Desserts,Fast Food,Beverages"," Shop 46, Fortune Mall, Sardar Patel Ring Road, Airport Gandhinagar Highway, Gandhinagar",,NULL
Shri Ambica Sweet & Namkeen,"Sector 25, Gandhinagar",₹150,8am – 10pm (Mon-Sun),Sweet Shop,"Mithai,Desserts,Fast Food,Street Food"," 5, Shreenagar Shopping Centre, Sector 24, Near Sector 25, Gandhinagar",,NULL
Chopstick Box,Infocity,₹350,11am – 11pm (Mon-Sun),Quick Bites,Chinese," Shop 10, Radhe Square, Near Reliance Cross Road, Kudasan, Infocity, Gandhinagar",,10% off on all orders above ₹120
Amul By Atulya,"Sector 6, Gandhinagar",₹350,24 Hours (Mon-Sun),Café,"Cafe,South Indian"," Plot 1284, HPCL Petrol Pump, GH-3, Near ST Stand, Sector 6, Gandhinagar",,NULL
Bonfire,Airport Gandhinagar Highway,₹400,12noon – 11pm (Mon-Sun),Quick Bites,"North Indian,Chinese,Fast Food"," Opp. P.D.P.U Boyes Hostel, At. Raysan, Ta & Dist., Gandhinagar, Ahmedabad.",,NULL
Hello Boho,Airport Gandhinagar Highway,₹400,9am – 11pm (Mon-Sun),Quick Bites,Fast Food," 11, Silicone Hills, Opposite Business Park, PDPU Road, Airport Gandhinagar Highway, Gandhinagar",,NULL
Saikrupa Restaurant,Infocity,₹350,11am – 10pm (Mon-Sun),Quick Bites,"North Indian,Gujarati"," Sargasan Gandhinagar, Infocity, Gandhinagar",,NULL
A-1 Panjabi FastFood,"Chopati, Sector 16",₹450,"11am – 3pm, 6pm – 11pm (Mon-Sun)",Food Court,"North Indian,Chinese,Gujarati,Street Food"," GH -5, Chopati, Sector 16, Gandhinagar",,NULL
Shree Nivas Bhojanshala,Infocity,₹150,"11am – 3pm, 7pm – 11pm (Mon-Sun)",Bhojanalya,Gujarati," 134, Super Mall 2, Infocity, Gandhinagar",,NULL
Lazari Fast Food,Infocity,₹300,8am – 11pm (Mon-Sun),Quick Bites,"Fast Food,Beverages"," G-4, Sarthak Mall, Sargasan Cross Road, Infocity, Gandhinagar",,NULL
Jay Krishna,Airport Gandhinagar Highway,₹500,8am – 11pm (Mon-Sun),Casual Dining,"North Indian,South Indian,Fast Food"," 7-12, Silver Point Complex, Behind Koba Bus Stand, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
President Lounge,"Sector 7, Gandhinagar","₹1,000",11am – 5am (Mon-Sun),Casual Dining,"Fast Food,Chinese,Italian,Beverages"," Shop 1-3, Suryajyot Lake, Sector 1, Near Sector 7, Gandhinagar",,NULL
Sabar Fry Centre,Airport Gandhinagar Highway,₹400,5pm – 12midnight (Mon-Sun),Dhaba,"Chinese,Mughlai"," Opposite GNLU College, PDPU Road Raisan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Punjabi Junction,Infocity,₹250,12noon – 11pm (Mon-Sun),NULL,North Indian, Delivery Only,,NULL
iHangover - A Munching Mania,Airport Gandhinagar Highway,₹750,11am – 11pm (Mon-Sun),Casual Dining,"Pizza,Fast Food"," A-9, Ground Floor, Shivalay Complex, Near Reliance Cross Road, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Havmor Ice Cream,"Sector 11, Gandhinagar",₹300,11am – 11pm (Mon-Sun),Dessert Parlor,"Desserts,Ice Cream"," Shop 6, Plot 10, 7 President Complex, Sector 11, Gandhinagar",,NULL
Navaratna Punjabi Restaurant,"Sector 21, Gandhinagar",₹700,"9am – 12midnight (Mon, Tue, Thu, Fri, Sat, Sun)...",Casual Dining,North Indian," 13-14, Shakti Complex, Opposite Krishna Hospital, Chiloda, Near Sector 21, Gandhinagar",,NULL
Krishna Fast Food,"Sector 21, Gandhinagar",₹400,"11am – 3:30pm, 6:30pm – 10:30pm (Mon-Sun)",Casual Dining,"South Indian,Sandwich,Chinese,North Indian"," B/1, 1st Floor, Gopal Dairy, District Shopping Centre, Sector 21, Gandhinagar",,NULL
South Dosa,Airport Gandhinagar Highway,₹300,6pm – 11pm (Mon-Sun),Quick Bites,South Indian," A-15/16, Pramukh Arcade, Airport Gandhinagar Highway, Gandhinagar",,NULL
7th Heaven,Infocity,₹500,11am – 10pm (Mon-Sun),Bakery,"Bakery,Desserts"," G 3, Siddhart Zori Complex, Adalaj Road Sargasan, Infocity, Gandhinagar",,NULL
Happinezz,Airport Gandhinagar Highway,₹200,1pm – 10pm (Mon-Sun),Dessert Parlor,"Ice Cream,Desserts,Beverages"," B9, Pramukh Arcade, Airport Gandhinagar Highway, Gandhinagar",,NULL
The Egg Eatery - Eggstremely Delicious,Airport Gandhinagar Highway,₹600,11am – 7pm (Mon-Sun),Casual Dining,"North Indian,Fast Food"," 67, Radhe Square, Reliance Cross Road, Airport Gandhinagar Highway, Gandhinagar",,10% off on all orders above ₹129
Twin Brothers Pizza & Cafe,Infocity,₹500,11am – 11pm (Mon-Sun),Quick Bites,"Pizza,Fast Food,Beverages"," 130, 1st Floor, Pramukh Tangent Complex, Sargasan Cross Road, Sargaasan, Near Infocity, Gandhinagar",,NULL
Meals4you,Airport Gandhinagar Highway,₹400,6pm – 12midnight (Mon-Sun),Food Truck,North Indian," B/015, Ground Floor, Opposite Silicon Hills, PDPU Road, Airport Gandhinagar Highway, Gandhinagar",,NULL
The Blue Oven,Infocity,₹700,11:30am – 11pm (Mon-Sun),Café,"Cafe,Italian,Continental,Beverages,Pizza"," C-64, Ground Floor, Pramukh Mastana, Dhola Kuvan Curcle, Kudasan, Infocity, Gandhinagar",,NULL
Ghar Ka Dabba,Airport Gandhinagar Highway,₹350,"11am – 4pm, 7pm – 11pm (Mon-Sun)",NULL,"Gujarati,Fast Food,North Indian"," 29, Pramukh Cypras, Near Reliance Cross, Airport Gandhinagar Highway, Gandhinagar",,NULL
Zippy Meals,Infocity,₹300,"11am – 3pm, 7pm – 3am (Mon-Sun)",Quick Bites,"Fast Food,North Indian"," Shop 304, Pramukh Cyprus, Kudasan, Opposite Aashka Hospital, Infocity, Gandhinagar",,NULL
Cafe Food Stop,Airport Gandhinagar Highway,₹350,11am – 12midnight (Mon-Sun),Quick Bites,Fast Food," C 03, Ground Floor, Vinayak Business Park, PDPU Road, Raysan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Tea Post,Infocity,₹200,8am – 11pm (Mon-Sun),Quick Bites,"Fast Food,Beverages,Tea"," 42, Super Mall - I, Gandhinagar, Infocity, Gandhinagar",,NULL
Munching Room,Infocity,₹500,11am – 3am (Mon-Sun),Quick Bites,"Pizza,Sandwich,Beverages"," Shop 162, 1st Floor, Radhe Square, Reliance Circle, Infocity, Gandhinagar",,NULL
R-Andhra Cafe,"Sector 6, Gandhinagar",₹200,8am – 12midnight (Mon-Sun),Quick Bites,South Indian," Shop 2, Shopping Complex, Near Vishal Super Market, Sector 6, Gandhinagar",,NULL
Radhe Snacks,Airport Gandhinagar Highway,₹200,8:30am – 9:30pm (Mon-Sun),Quick Bites,"Fast Food,Street Food,Mithai"," Shrirang Heights, PDPU Service Road, Airport Gandhinagar Highway, Gandhinagar",,NULL
Banana Leaf,Airport Gandhinagar Highway,₹400,8am – 11pm (Mon-Sun),Quick Bites,South Indian," Shop 15, Radhe Square Building, Kudasan, Reliance Crossroads, Airport Gandhinagar Highway, Gandhinagar",,NULL
Hashtag Waffles,"Sector 21, Gandhinagar",₹400,9am – 4am (Mon-Sun),Quick Bites,"Desserts,Fast Food"," GH 62/1, Near Ayurveda Dwarkhana, Sector 29, Near Sector 21, Gandhinagar",,NULL
Finger Lick Food,Airport Gandhinagar Highway,₹300,5pm – 3am (Mon-Sun),Quick Bites,Chinese," Shop 12, Shrifal Heights, Kudasan, Opposite Pramukh Furniture, Airport Gandhinagar Highway, Gandhinagar",,NULL
Blue Berry Restaurant,"Sector 16, Gandhinagar",₹500,11am – 11pm (Mon-Sun),Casual Dining,"North Indian,Chinese"," Plot 316, Near Indian Bank, Sector 16, Gandhinagar",,NULL
The Hunger House,Infocity,₹300,"11am – 3pm, 7pm – 12midnight (Mon-Sun)",NULL,"Fast Food,North Indian,South Indian", Delivery Only,,NULL
Iscon Gathiya,"Sector 6, Gandhinagar",₹100,6am – 11pm (Mon-Sun),NULL,"Gujarati,Street Food"," Plot 1553, Ground Floor, Avkar Arcade, Beside Apna Bazar, GH 2, Sector 6, Gandhinagar",,NULL
Pramukh Kathiyavadi Bhojanalay,"Sector 6, Gandhinagar",₹250,"11am – 3pm, 6:30pm – 10:30pm (Mon-Sun)",Bhojanalya,"Gujarati,North Indian"," GH Road, Sector 6-A, Gandhinagar, Ahmedabad",,NULL
New Rajdhani,Airport Gandhinagar Highway,₹450,11am – 11pm (Mon-Sun),Casual Dining,"North Indian,Chinese,South Indian"," Near Petrol Pump, Koba, Airport Gandhinagar Highway, Gandhinagar",,NULL
The Capital Night,Infocity,₹300,11am – 1am (Mon-Sun),NULL,"Healthy Food,Street Food"," 108, Tangent Complex, Near Sargasan Cross Road, Village Sargasan, Infocity, Gandhinagar",,NULL
Mr Egg Shop,Airport Gandhinagar Highway,₹250,10am – 10pm (Mon-Sun),Quick Bites,Street Food," B-34, Pramukh Arcade, Near Reliance Cross Road, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Dark Night Food Zone,Infocity,₹250,11am – 11pm (Mon-Sun),Quick Bites,Fast Food," Shop 12, Vrundavan Recidency 2, Near Sargasan, Infocity, Gandhinagar",,NULL
Patel Parlour,"Sector 25, Gandhinagar",₹250,9am – 11pm (Mon-Sun),Dessert Parlor,"Desserts,Ice Cream"," Sector 24 Cross Road, Sector 25, Gandhinagar",,NULL
Gravitic Juice,Infocity,₹250,7am – 10pm (Mon-Sun),Beverage Shop,"Juices,Salad"," G 204, Ratnaraj Residency, Sargasan, Behind Siddharaj Zori, Infocity, Gandhinagar",,NULL
Sarvoday Bhojnalaya,"Sector 11, Gandhinagar",₹300,"9:30am – 4pm, 7pm – 10pm (Mon-Sun)",Quick Bites,"Gujarati,North Indian"," 40 D, Old Secretariat, Meena Bazaar, Sector 10 B, Near Sector 11, Gandhinagar",,NULL
The Jungle Joy Multi-Cuisine Restaurant,"Sector 21, Gandhinagar",₹500,11am – 11pm (Mon-Sun),Casual Dining,"North Indian,Italian,South Indian"," Plot B/16-B/17, District Shopping Center, Sector 21, Gandhinagar",,Buy 1 Get 1 Free from select items
Bhagyalaxmi Kitchen,Infocity,₹350,11am – 11pm (Mon-Sun),Quick Bites,"Chinese,Fast Food"," Plot 147, Near Shopping Centre, Sector 8, Infocity, Gandhinagar",,NULL
The Night Kitchen,Infocity,₹400,6pm – 4am (Mon-Sun),NULL,"North Indian,Fast Food,Chinese"," Shop C8, Business Park, PDPU Road, Raysan, Infocity, Gandhinagar",,NULL
Rise,Infocity,₹800,6:30am – 11pm (Mon-Sun),Casual Dining,"Continental,Fast Food,North Indian"," Block 38, Zone 3, Tapas Marg, Gift City, Infocity, Gandhinagar",,NULL
Hotel Purohit,"Sector 21, Gandhinagar",₹350,"10:30am – 3:30pm, 6:30pm – 10:30pm (Mon-Sun)",Quick Bites,"North Indian,Gujarati,Rajasthani"," Himmatnagar Highway No 8, Chiloda, Near Sector 21, Sector 21, Gandhinagar",,NULL
Baker's Make Restaurant,"Sector 21, Gandhinagar",₹450,11am – 10pm (Mon-Sun),Casual Dining,"Street Food,Fast Food"," Near Navratri Chowk, Mahavir Nagar, Himatnagar, Sabarkantha, Sector 21, Gandhinagar",,NULL
Street Meet Non Veg Point,Infocity,₹500,5pm – 12midnight (Mon-Sun),Quick Bites,"North Indian,Mughlai,Biryani"," Gift City Road, Dholakuva, Infocity, Gandhinagar",,NULL
Delhi Belly,"The Spicy Street Road, Airport Gandhinagar Highway",₹350,10am – 10pm (Mon-Sun),Quick Bites,North Indian," Stall 04, The Spicy Street Road, Opposite Nagraj Party Plot, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
The Waffle Cafe,"The Spicy Street Road, Airport Gandhinagar Highway",₹350,11am – 12midnight (Mon-Sun),Food Court,Desserts," Stall 5, The Spicy Street Road, Opposite Nagraj Party Plot, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Prince Food Court,"Chopati, Sector 16",₹300,9am – 11pm (Mon-Sun),Food Court,"Fast Food,Chinese,North Indian"," Shop 62, Chopati, Near Shalimar Cinema, GH Road, Sector 16, Gandhinagar",,NULL
Brew Brothers,"The Spicy Street Road, Airport Gandhinagar Highway",₹100,6pm – 11:30pm (Mon-Sun),Food Court,Beverages," Stall 27, The Spicy Street Road, Opposite Nagraj Party Plot, Kudasan Road, Urjanagar, Airport Gandhinagar Highway, Gandhinagar",,NULL
Bombay Sandwich,Airport Gandhinagar Highway,₹300,10:30am – 11pm (Mon-Sun),NULL,"Sandwich,Street Food", Delivery Only,,30% off on your first order
Cafe Amul- Amulfed Dairy,Airport Gandhinagar Highway,₹300,"10am – 10pm (Mon),10am – 9pm (Tue-Sun)",NULL,Fast Food," Near Indira Bridge, Village Bhatt, Airport Gandhinagar Highway, Gandhinagar",,NULL
Spicy Dine Inn,Airport Gandhinagar Highway,₹300,11am – 11pm (Mon-Sun),NULL,"Chinese,Fast Food"," 13, Pramukh Corporate, PDPU Road, Raysan, Gandhinagar, Airport Gandhinagar Highway, Gandhinagar",,NULL
Estrella De Mar,Airport Gandhinagar Highway,₹400,24 Hours (Mon-Sun),NULL,"Fast Food,Beverages", Delivery Only,,50% off on all orders
Charmi Fast Food,Infocity,₹200,11am – 11pm (Mon-Sun),Quick Bites,Fast Food," 21, Pramukh Pacific, Opposite TP 9 Watertank, Surya Road, Sargasan, Infocity, Gandhinagar",,NULL
Giranar Kathiyavadi Restaurant,Infocity,₹250,"7am – 10:45am, 12noon – 2:45pm (Mon-Sun)",Quick Bites,Gujarati," Ashvamegh Shopping 2, Sargasan, Infocity, Gandhinagar",,NULL
Maysoor,"Chopati, Sector 16",₹300,11am – 11pm (Mon-Sun),Food Court,"North Indian,South Indian,Chinese"," Chopati, Behind Petrol Pump, GH Road, Sector 16, Gandhinagar",,NULL
Maa Ki Roti Restuarant,Airport Gandhinagar Highway,₹250,"11am – 3pm, 7pm – 11pm (Mon-Sun)",Quick Bites,"Gujarati,North Indian,Chinese"," Feel Street, Opposite The Landmark Building, Airport Gandhinagar Highway, Gandhinagar",,NULL
Prithviraj Kathyawadi,Airport Gandhinagar Highway,₹200,"11am – 3pm, 7pm – 10:30pm (Mon-Sun)",Quick Bites,Gujarati," B 74, Pramukh Arcade, Kudasan Cross Road, Airport Gandhinagar Highway, Gandhinagar",,NULL
Indo China Food Junction,Airport Gandhinagar Highway,₹300,"12noon – 3pm, 6pm – 12midnight (Mon-Sun)",Quick Bites,"South Indian,Chinese,Sandwich,Street Food"," 10, Radhe Square, Reliance Cross Road, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Foodsteps,Infocity,₹200,7am – 8pm (Mon-Sun),NULL,"North Indian,South Indian,Fast Food"," Shop 11, A Wing, Swagat Rainforest 2, Urjanagar, Kudasan, Infocity, Gandhinagar",,NULL
R.K Omlet,"Chopati, Sector 16",₹300,10am – 10pm (Mon-Sun),Food Court,Fast Food," 61, Chopati, GH -5, Sector 16, Gandhinagar",,10% off on all orders
Maruti - The Gujrati Thal,Infocity,₹200,"11:30am – 2:30pm, 7pm – 10:30pm (Mon-Sun)",Quick Bites,Gujarati," Shop 108, First Floor, Supermall 2, Infocity, Gandhinagar",,NULL
Vibes Bistro,Airport Gandhinagar Highway,₹500,"12midnight – 2am, 10am – 12midnight (Mon-Sun)",Quick Bites,Fast Food," Ground Floor, 4 Tangent Complex, Near Sargasan Circle, Airport Gandhinagar Highway, Gandhinagar",,NULL
Smokiez BBQ,"The Spicy Street Road, Airport Gandhinagar Highway",₹300,5:30pm – 11:30pm (Mon-Sun),Food Court,"BBQ,Fast Food"," Stall 8, The Spicy Street Road, Opposite Nagraj Party Plot, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Dhan Laxmi,"Sector 16, Gandhinagar",₹400,10am – 11pm (Mon-Sun),Food Court,"Chinese,North Indian"," Stall 70, Food Court, Near G-5, Sector 16, Gandhinagar",,NULL
Send We Cheese,Infocity,₹250,5pm – 12midnight (Mon-Sun),Quick Bites,"Sandwich,Fast Food"," 8, Urban Otalo Food Park, Nera Mocha, Infocity, Gandhinagar",,NULL
William John's Pizza,Airport Gandhinagar Highway,₹600,11am – 11pm (Mon-Sun),Quick Bites,"Pizza,Fast Food"," 135-136, First Floor, Radhe Fortune, Apollo Circle, 200 Ft Ring Road, Airport Gandhinagar Highway, Gandhinagar",,NULL
New Egg World,Infocity,₹500,5pm – 3am (Mon-Sun),Quick Bites,"North Indian,Fast Food"," Shop 22, Pramukh Tangent Gandhinagar Bypass Road, Cross Road, Sargasan, Infocity, Gandhinagar",,NULL
Naivedhyam - The Khichdi Junction,"Sector 7, Gandhinagar",₹300,11am – 11pm (Mon-Sun),Quick Bites,"North Indian,Gujarati"," 438/A-2, Geetanjali Park, Sector 8B, Near Sector 7, Gandhinagar",,NULL
Magic Maza,Airport Gandhinagar Highway,₹350,11am – 3am (Mon-Sun),Quick Bites,"Fast Food,North Indian"," Shop 162, 1st Floor, Radhe Square, Reliance Circle Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Small Feast,Airport Gandhinagar Highway,₹300,11am – 3am (Mon-Sun),Quick Bites,"North Indian,Fast Food"," 162, 1st Floor, Radhe Square, Reliance Circle Khudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
SFS Health Cafe,Infocity,₹350,7am – 11pm (Mon-Sun),Quick Bites,"Fast Food,North Indian,Healthy Food,Juices"," Shop 11, Atria B Business Hub, Sargasan Cross Road, Infocity, Gandhinagar",,NULL
The Sandwich 1919,"The Spicy Street Road, Airport Gandhinagar Highway",₹400,12noon – 12midnight (Mon-Sun),Food Court,"Sandwich,Fast Food"," Stall 6-7, The Spicy Street Road, Opposite Nagraj Party Plot, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Capital Russian Bakery,"Sector 6, Gandhinagar",₹200,8am – 11pm (Mon-Sun),Bakery,Bakery," Plot 5/1556, Jalaram Square, Near Apna Bazar, Sector 6, Gandhinagar",,NULL
Freaky Frankie,"The Spicy Street Road, Airport Gandhinagar Highway",₹200,6:30pm – 11:30pm (Mon-Sun),Food Court,Rolls," Stall 25, The Spicy Street Road, Opposite Nagraj Party Plot, Kudasan Road, Urjanagar, Airport Gandhinagar Highway, Gandhinagar",,NULL
Jay Matarani Parotha Factory,Infocity,₹200,11am – 11pm (Mon-Sun),Quick Bites,North Indian," 135, Super Mall 1, Infocity, Gandhinagar",,NULL
Sevak Cafe,Airport Gandhinagar Highway,₹300,11am – 3am (Mon-Sun),Quick Bites,"Fast Food,Street Food,Beverages"," SH 34, Shri Rang Mall, GIFT City Road, Randesan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Dangee Dums,Airport Gandhinagar Highway,₹400,10am – 11pm (Mon-Sun),Dessert Parlor,"Bakery,Beverages"," Radhe Square Building, Near Reliance Chokdi, Kudasan, Airport Gandhinagar Highway",,NULL
Sai Krupa Bombay Vadapav & Bhel Puri Center,Infocity,₹150,9am – 10pm (Mon-Sun),Quick Bites,Street Food," Shop 25, Infocity, Gandhinagar",,NULL
U.S. Pizza,Airport Gandhinagar Highway,₹500,11am – 11pm (Mon-Sun),Quick Bites,"Pizza,Fast Food,Beverages,Desserts"," Radhe Fortune Plot, Near Apollo Circle, Airport Gandhinagar Highway, Gandhinagar",,NULL
The Egg Box & Cafe,Infocity,₹500,11am – 11pm (Mon-Sun),Quick Bites,"Fast Food,Street Food,Gujarati,North Indian"," B 1, Ground Floor, Business Park Complex, Pdpu Road, Raysan, Infocity, Gandhinagar",,NULL
Radhe Fast Food,Infocity,₹250,11am – 11pm (Mon-Sun),NULL,"Street Food,Fast Food,Chinese,South Indian"," Shop 2, Ashwamegh Complex, Sargasan Circle, Infocity, Gandhinagar",,NULL
Chat Corner,"Sector 21, Gandhinagar",₹200,9am – 10:30pm (Mon-Sun),Quick Bites,"Chinese,Street Food"," Shop B/1, District Shopping Centre, Sector 21, Gandhinagar",,10% off on all orders above ₹299
Vijay Food Corner,Infocity,₹300,11am – 11pm (Mon-Sun),Quick Bites,"Fast Food,South Indian,Chinese"," Shop 17, Infocity Super Mall 1, Near GH 0 Circle, Infocity, Gandhinagar",,NULL
Just Us,Airport Gandhinagar Highway,"₹1,000",11am – 11pm (Mon-Sun),Casual Dining,"Italian,Mexican,Chinese,North Indian"," Ground Floor, Shree Vinus Siddhi Resort Private Limited, Nabhoi, Airport Gandhinagar Highway, Gandhinagar",,NULL
Bombay Pav Bhaji and Chinese,Infocity,₹350,11am – 11pm (Mon-Sun),NULL,"Street Food,Chinese"," SWFF/01/E, Ground Floor, Infocity Supermall 1, Infocity, Gandhinagar",,NULL
